iter	Passed	Remaining
448	1931	219
449	1936	215
450	1939	210
451	1944	206
452	1948	202
453	1952	197
454	1955	193
455	1960	189
456	1963	184
457	1966	180
458	1970	176
459	1974	171
460	1978	167
461	1982	163
462	1987	158
463	1992	154
464	1997	150
465	2001	146
466	2004	141
467	2007	137
468	2012	133
469	2016	128
470	2020	124
471	2024	120
472	2029	115
473	2034	111
474	2038	107
475	2042	102
476	2047	98
477	2050	94
478	2054	90
479	2057	85
480	2062	81
481	2067	77
482	2071	72
483	2074	68
484	2078	64
485	2082	59
486	2086	55
487	2091	51
488	2095	47
489	2099	42
490	2103	38
491	2108	34
492	2112	29
493	2116	25
494	2120	21
495	2124	17
496	2128	12
497	2133	8
498	2138	4
499	2142	0
