iter	MAE
0	1.654590257
1	1.580874164
2	1.507625858
3	1.438588552
4	1.375464605
5	1.314235815
6	1.257105448
7	1.200137635
8	1.145003818
9	1.094085332
10	1.045346925
11	1.000432458
12	0.9576392991
13	0.91350658
14	0.8734428166
15	0.8438014999
16	0.8087586459
17	0.7755899961
18	0.7473771976
19	0.7175333991
20	0.6871209104
21	0.6597834861
22	0.6330267035
23	0.607748316
24	0.5843461471
25	0.5624732332
26	0.5422022738
27	0.5201355508
28	0.5025286805
29	0.4865730494
30	0.4706528932
31	0.454073237
32	0.4395138467
33	0.4241484217
34	0.4095998536
35	0.3968202585
36	0.3846169929
37	0.3715982828
38	0.3604880632
39	0.347728892
40	0.3363663275
41	0.3257264782
42	0.3168863417
43	0.3078795185
44	0.2988098502
45	0.291841689
46	0.2831823135
47	0.2745481195
48	0.2662405463
49	0.2576892598
50	0.2512537038
51	0.2451456545
52	0.2393941269
53	0.2345890153
54	0.2277065943
55	0.2216993297
56	0.2173884985
57	0.2113540873
58	0.2063842098
59	0.2014532145
60	0.1970130479
61	0.1932108555
62	0.1892527308
63	0.1854078447
64	0.1822852558
65	0.1791448927
66	0.1757879492
67	0.1718335784
68	0.1692933096
69	0.1669576021
70	0.1645448376
71	0.1620376223
72	0.1594699061
73	0.1578203864
74	0.1548741259
75	0.1524635473
76	0.1505154792
77	0.1479608493
78	0.1452289566
79	0.1425108464
80	0.1398443534
81	0.137212669
82	0.1348771175
83	0.1327573025
84	0.1301649134
85	0.1284257453
86	0.1267827404
87	0.1248101067
88	0.1233236692
89	0.1217878623
90	0.1206120009
91	0.119117137
92	0.1177027999
93	0.1164597772
94	0.1147272139
95	0.1135972198
96	0.1122974658
97	0.1107334873
98	0.1096901331
99	0.1087540854
100	0.1081742987
101	0.107260164
102	0.1064843126
103	0.105542989
104	0.1048246051
105	0.104028992
106	0.1032209631
107	0.1020805804
108	0.1010582108
109	0.1001149516
110	0.09955187733
111	0.09879819135
112	0.09819373481
113	0.09753152222
114	0.09698636448
115	0.09601988166
116	0.095248799
117	0.0943574709
118	0.09387476597
119	0.0935344427
120	0.09314316805
121	0.09269964007
122	0.09222662213
123	0.09167305197
124	0.09117662996
125	0.09083794933
126	0.09019013915
127	0.08977842778
128	0.08909076501
129	0.08868755261
130	0.08816844189
131	0.08787068924
132	0.0873160037
133	0.08702988326
134	0.08671985863
135	0.08637525418
136	0.08599685878
137	0.08569270027
138	0.08531287168
139	0.08485540791
140	0.08463669114
141	0.08431666856
142	0.08395635158
143	0.08349644933
144	0.08266473243
145	0.08234165806
146	0.08216408387
147	0.08198186341
148	0.08102694831
149	0.08051694852
150	0.08007928433
151	0.0796524629
152	0.07931442147
153	0.07888032588
154	0.07826936136
155	0.07777545667
156	0.07754156211
157	0.07722904364
158	0.07702011998
159	0.07680586079
160	0.07638105602
161	0.07616406431
162	0.0758743555
163	0.07550256642
164	0.07533778585
165	0.07533463813
166	0.07491240729
167	0.0744179487
168	0.07381763864
169	0.07368380115
170	0.07307934367
171	0.07293020691
172	0.07231650474
173	0.07203220579
174	0.07165060622
175	0.07144349285
176	0.07119809844
177	0.07103947096
178	0.07069628216
179	0.0700895294
180	0.06972707972
181	0.06933662631
182	0.06907899451
183	0.06855896239
184	0.0679704038
185	0.06764189733
186	0.06743095155
187	0.06692845166
188	0.06655885303
189	0.06628394517
190	0.06579355822
191	0.06556888145
192	0.06506053197
193	0.06480397414
194	0.06456272594
195	0.06406803685
196	0.06365560672
197	0.06342995119
198	0.06294216439
199	0.06272867063
200	0.06248035878
201	0.06225855457
202	0.06198356551
203	0.06159985695
204	0.06132276195
205	0.06111737071
206	0.06092251635
207	0.06078145699
208	0.06046675456
209	0.06003283474
210	0.05978060864
211	0.05944685803
212	0.05926699203
213	0.05895093001
214	0.05856406467
215	0.05824057955
216	0.05791667457
217	0.05772743027
218	0.05728463636
219	0.0570247972
220	0.05686583552
221	0.05655491738
222	0.05629600124
223	0.05606969557
224	0.055903916
225	0.05559942013
226	0.05543243044
227	0.05526678773
228	0.05510261797
229	0.05498706246
230	0.054852239
231	0.05466059849
232	0.05455151862
233	0.05424470151
234	0.05394050101
235	0.05371935308
236	0.05352644646
237	0.05332458898
238	0.05296054145
239	0.05266683891
240	0.05244102943
241	0.05231425775
242	0.05213808784
243	0.05193420445
244	0.05174862277
245	0.05160716895
246	0.05147536149
247	0.05135028598
248	0.0510364324
249	0.05084997519
250	0.05059456893
251	0.05032465118
252	0.05018362632
253	0.05008727903
254	0.04997309875
255	0.04974399044
256	0.04958656474
257	0.04942437709
258	0.0492371393
259	0.04913864638
260	0.04890228588
261	0.0487644362
262	0.04863712186
263	0.0485208333
264	0.0484204952
265	0.04830615539
266	0.0482021459
267	0.04811064455
268	0.04791330551
269	0.04780040878
270	0.04770940587
271	0.04744669066
272	0.0471970204
273	0.04708409571
274	0.04698985075
275	0.04691135426
276	0.04680070322
277	0.04670147917
278	0.04655216768
279	0.04642753284
280	0.04631844927
281	0.04609630373
282	0.04598460794
283	0.04589001496
284	0.04579665651
285	0.04558982602
286	0.04550131235
287	0.04540727255
288	0.045323479
289	0.04526771526
290	0.04515988751
291	0.04504855808
292	0.04494225212
293	0.0447204388
294	0.04462786509
295	0.04453446702
296	0.04433237967
